                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  2.609,                 1.7041,                  1.269,                 0.3117,                0.59836,                0.28904,                0.12408,                 2.5057,                 2.0945,                  2.081,               0.006733,               0.006733,               0.006733
                     35,                 2.5873,                 1.7218,                 1.2441,                0.29356,                0.51639,                0.24872,                0.09816,                 2.3588,                 2.1698,                 1.9591,               0.006634,               0.006634,               0.006634
                     36,                 2.6181,                 1.6679,                 1.2432,                 0.3143,                0.59016,                0.29006,                0.11827,                 2.3778,                 2.1287,                  1.965,               0.006535,               0.006535,               0.006535
                     37,                 2.4437,                  1.751,                 1.2166,                0.42451,                0.64092,                0.39921,                0.16499,                 2.3365,                 1.8414,                 1.8916,               0.006436,               0.006436,               0.006436
                     38,                 2.4188,                 1.7176,                 1.2286,                0.34956,                0.46721,                0.27396,                 0.1038,                 2.3376,                 2.2876,                  1.933,               0.006337,               0.006337,               0.006337
                     39,                 2.4247,                 1.6702,                 1.2166,                 0.3342,                0.40984,                0.23221,                0.08206,                 2.5583,                 2.1194,                 1.9713,               0.006238,               0.006238,               0.006238
                     40,                 2.3571,                 1.5677,                 1.1839,                0.43017,                0.67213,                0.42021,                 0.1727,                 2.2891,                 2.9774,                 1.8576,               0.006139,               0.006139,               0.006139
                     41,                 2.4326,                 1.6203,                 1.1927,                0.44967,                0.63934,                 0.4015,                0.16904,                 2.2509,                   2.06,                 1.8238,                0.00604,                0.00604,                0.00604
                     42,                 2.4975,                 1.5147,                 1.1651,                0.44476,                0.59016,                0.41182,                0.18603,                 2.1492,                 2.1128,                 1.8235,               0.005941,               0.005941,               0.005941
                     43,                 2.3902,                 1.5136,                 1.2089,                0.45245,                0.57377,                0.41016,                0.18926,                 2.1794,                 2.0647,                  1.839,               0.005842,               0.005842,               0.005842
                     44,                 2.3731,                 1.5079,                 1.2107,                 0.4623,                0.55675,                0.39403,                 0.1578,                 2.3073,                 1.9011,                 1.8811,               0.005743,               0.005743,               0.005743
                     45,                 2.3636,                 1.4559,                 1.1984,                0.39517,                0.68033,                0.37488,                0.15611,                 2.1785,                 1.7512,                  1.806,               0.005644,               0.005644,               0.005644
                     46,                 2.3079,                 1.4079,                 1.2014,                0.45005,                0.66393,                0.43154,                0.17557,                 2.2358,                 1.7355,                 1.8067,               0.005545,               0.005545,               0.005545
