                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9851,                 4.3242,                  3.109,                0.38769,                0.39344,                0.32939,                0.12198,                 2.1482,                 3.2015,                 1.6074,             0.00065359,             0.00065359,             0.00065359
                      1,                 2.6938,                 3.1945,                 2.7206,                0.57178,                0.66393,                0.60913,                0.23983,                  2.155,                 2.1939,                 1.5898,              0.0013072,              0.0013072,              0.0013072
                      2,                 2.5343,                 2.7733,                  2.486,                0.47197,                0.56557,                0.43088,                0.20379,                 1.9685,                 2.3028,                 2.1525,              0.0019476,              0.0019476,              0.0019476
                      3,                 2.3947,                 2.4962,                 2.3543,                0.35385,                0.54764,                0.36473,                0.13891,                 2.0713,                  2.227,                 1.4947,              0.0019406,              0.0019406,              0.0019406
                      4,                 2.2258,                 2.2772,                 2.1935,                0.53726,                0.49488,                0.48491,                0.18252,                 1.9118,                 2.2112,                  1.483,              0.0019406,              0.0019406,              0.0019406
                      5,                  2.153,                 2.0111,                 2.0899,                0.70717,                0.58197,                0.59935,                0.21093,                  2.015,                 1.9227,                 1.4825,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.0856,                 1.9351,                 2.0556,                0.64498,                0.53279,                0.60167,                0.27814,                 1.9449,                 1.8171,                  1.437,               0.001901,               0.001901,               0.001901
                      7,                 2.0173,                 1.7981,                 1.9882,                0.62437,                0.59948,                0.55631,                0.22595,                 1.9966,                   1.63,                 1.5051,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.9965,                  1.721,                 1.9403,                 0.5618,                0.72131,                0.56715,                0.23079,                 1.8459,                 1.5312,                 1.3921,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.9213,                 1.6575,                 1.9148,                0.58024,                0.71382,                0.59933,                   0.24,                 2.0193,                 1.4791,                 1.4637,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8333,                 1.5691,                 1.8241,                0.64975,                 0.7541,                0.62665,                0.25584,                 1.9399,                  1.456,                 1.4626,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.8774,                 1.5358,                 1.8758,                0.66362,                0.68852,                0.73216,                0.29859,                 1.9533,                  1.537,                  1.456,               0.001802,               0.001802,               0.001802
                     12,                 1.8346,                 1.5169,                 1.8222,                0.57941,                 0.7114,                0.64031,                  0.306,                 1.8136,                  1.405,                 1.3851,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7647,                 1.4415,                 1.7613,                0.65213,                0.68852,                0.68251,                0.33288,                 1.7626,                  1.435,                 1.3542,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.8125,                  1.434,                 1.7818,                0.53325,                0.63934,                0.57026,                  0.273,                 1.9426,                 1.5265,                 1.4425,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.7912,                 1.4456,                 1.7936,                0.59958,                0.64754,                0.61769,                0.25718,                 1.9649,                 1.5098,                 1.4325,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7509,                 1.3468,                 1.7457,                0.45787,                0.68852,                0.55075,                0.23408,                 1.9576,                 1.5084,                 1.4835,               0.001703,               0.001703,               0.001703
